Name,Artist,Date,Time,Venue,Address,Price,Segment,Genre,Link,Image
"Bad Bunny - DeBÍ TiRAR MáS FOToS World Tour | VIP Packages","Bad Bunny","2026-05-22","20:00:00","Estadi Olímpic Lluis Companys","Passeig Olímpic, 5-7","Unavailable","Music","Latin","https://www.ticketmaster.es/event/bad-bunny-debi-tirar-mas-fotos-world-tour-%7C-vip-packages-tickets/579652547?language=en-us","https://s1.ticketm.net/dam/a/ac0/5a0435d2-95f1-491d-911a-598d513e5ac0_SOURCE"
"Bad Bunny - DeBÍ TiRAR MáS FOToS World Tour","Bad Bunny","2026-05-22","20:00:00","Estadi Olímpic Lluis Companys","Passeig Olímpic, 5-7","Unavailable","Music","Latin","https://www.ticketmaster.es/event/bad-bunny-debi-tirar-mas-fotos-world-tour-tickets/653666176?language=en-us","https://s1.ticketm.net/dam/a/ac0/5a0435d2-95f1-491d-911a-598d513e5ac0_SOURCE"
"Bad Bunny","Bad Bunny","2026-05-22","20:00:00","Estadi Ol??mpic Llu??s Companys","Passeig Ol??mpic, 17-19","Unavailable","Music","Other","https://www.ticketmaster.com/event/Z7r9jZ1A7p8QZ","https://s1.ticketm.net/dam/a/598/144e8308-c5a1-4f38-b913-e38d9d02f598_TABLET_LANDSCAPE_LARGE_16_9.jpg"
"Bad Bunny - DeBÍ TiRAR MáS FOToS World Tour","Bad Bunny","2026-05-23","20:00:00","Estadi Olímpic Lluis Companys","Passeig Olímpic, 5-7","Unavailable","Music","Latin","https://www.ticketmaster.es/event/bad-bunny-debi-tirar-mas-fotos-world-tour-tickets/1116290311?language=en-us","https://s1.ticketm.net/dam/a/ac0/5a0435d2-95f1-491d-911a-598d513e5ac0_SOURCE"
"Bad Bunny - DeBÍ TiRAR MáS FOToS World Tour | VIP Packages","Bad Bunny","2026-05-23","20:00:00","Estadi Olímpic Lluis Companys","Passeig Olímpic, 5-7","Unavailable","Music","Latin","https://www.ticketmaster.es/event/bad-bunny-debi-tirar-mas-fotos-world-tour-%7C-vip-packages-tickets/338486201?language=en-us","https://s1.ticketm.net/dam/a/ac0/5a0435d2-95f1-491d-911a-598d513e5ac0_SOURCE"
"Bad Bunny","Bad Bunny","2026-05-23","20:00:00","Estadi Ol??mpic Llu??s Companys","Passeig Ol??mpic, 17-19","Unavailable","Music","Other","https://www.ticketmaster.com/event/Z7r9jZ1A7p81Z","https://s1.ticketm.net/dam/a/598/144e8308-c5a1-4f38-b913-e38d9d02f598_TABLET_LANDSCAPE_LARGE_16_9.jpg"
"Bad Bunny - DeBÍ TiRAR MáS FOToS World Tour | VIP Packages","Bad Bunny","2026-05-30","20:00:00","Estadio Riyadh Air Metropolitano","Av. de Luis Aragonés, 4","Unavailable","Music","Latin","https://www.ticketmaster.es/event/bad-bunny-debi-tirar-mas-fotos-world-tour-%7C-vip-packages-tickets/1875547694?language=en-us","https://s1.ticketm.net/dam/a/ac0/5a0435d2-95f1-491d-911a-598d513e5ac0_SOURCE"
"Bad Bunny - DeBÍ TiRAR MáS FOToS World Tour","Bad Bunny","2026-05-30","20:00:00","Estadio Riyadh Air Metropolitano","Av. de Luis Aragonés, 4","Unavailable","Music","Latin","https://www.ticketmaster.es/event/bad-bunny-debi-tirar-mas-fotos-world-tour-tickets/417009905?language=en-us","https://s1.ticketm.net/dam/a/ac0/5a0435d2-95f1-491d-911a-598d513e5ac0_SOURCE"
"Bad Bunny","Bad Bunny","2026-05-30","20:00:00","Estadio Riyadh Air Metropolitano","28022 Madrid, Spain","Unavailable","Music","Other","https://www.ticketmaster.com/event/Z7r9jZ1A7p8QF","https://s1.ticketm.net/dam/a/598/144e8308-c5a1-4f38-b913-e38d9d02f598_TABLET_LANDSCAPE_LARGE_16_9.jpg"
"Bad Bunny - DeBÍ TiRAR MáS FOToS World Tour | VIP Packages","Bad Bunny","2026-05-31","20:00:00","Estadio Riyadh Air Metropolitano","Av. de Luis Aragonés, 4","Unavailable","Music","Latin","https://www.ticketmaster.es/event/bad-bunny-debi-tirar-mas-fotos-world-tour-%7C-vip-packages-tickets/1847087954?language=en-us","https://s1.ticketm.net/dam/a/ac0/5a0435d2-95f1-491d-911a-598d513e5ac0_SOURCE"
